Name,Funding,Department
1890 Institution Capacity Building Grants ,28000000,Department of Agriculture
1994 Institutions Research Grants ,5000000,Department of Agriculture
2017 Wildfres and Hurricanes Indemnity Program ,768000,Department of Agriculture
Acer Access Development Program ,8000000,Department of Agriculture
Agricultural and Food Policy Research Centers ,8000000,Department of Agriculture
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations ",2000000,Department of Agriculture
Agricultural Conservation Easement Program ,643000000,Department of Agriculture
Agricultural Genome to Phenome Initiative ,2000000,Department of Agriculture
Agricultural Management Assistance ,4000000,Department of Agriculture
Agricultural Market and Economic Research ,5000000,Department of Agriculture
"Agricultural Research, Basic and Applied Research ",380000000,Department of Agriculture
Agricultural Statistics Reports ,4000000,Department of Agriculture
Agriculture and Food Research Initiative (AFRI) ,408000000,Department of Agriculture
Agriculture Business Innovation Center at HBCU,0,Department of Agriculture
Agriculture Innovation Center Demonstration Program,0,Department of Agriculture
Agriculture Risk Coverage Program ,274000000,Department of Agriculture
Agriculture Risk Management Education Partnerships Competitive Grants Program ,9000000,Department of Agriculture
Agriculture Wool Apparel Manufacturers Trust Fund ,30000000,Department of Agriculture
Alaska National Interest Lands Conservation Act (ANILCA) Agreements ,862000,Department of Agriculture
Alaska Native-Serving and Native Hawaiian-Serving Institutions Education Grants ,6000000,Department of Agriculture
Alfalfa Seed and Alfalfa Forage Systems Program ,4000000,Department of Agriculture
American Rescue Plan Centers of Excellence for Meat and Poultry Processing and Food Safety Research and Innovation Phase III,0,Department of Agriculture
American Rescue Plan Technical Assistance Investment Program,0,Department of Agriculture
Animal Health and Disease Research ,4000000,Department of Agriculture
Appropriate Technology Transfer for Rural Areas ,4000000,Department of Agriculture
Assistance to High Energy Cost Rural Communities ,7000000,Department of Agriculture
Assisting Specialty Crop Exports ,8000000,Department of Agriculture
Beginning Farmer and Rancher Development Program ,24000000,Department of Agriculture
Bill Emerson National Hunger Fellows and Mickey Leland International Hunger Fellows Programs ,2000000,Department of Agriculture
